iso3,lat,lon,country
JOR,31.950001,35.933334,Jordan
ISR,32.083332,34.766666,Israel
BMU,32.299999,-64.800003,Bermuda
LBY,32.733334,13.116667,Libyan Arab Jamahiriya
IRQ,33.333332,44.433334,Iraq
SYR,33.5,36.316666,Syrian Arab Republic
PAK,33.666668,73.133331,Pakistan
LBN,33.866665,35.5,Lebanon
MAR,34.033333,-6.8499999,Morocco
AFG,34.516666,69.199997,Afghanistan
CYP,35.150002,33.349998,Cyprus
IRN,35.666668,51.433334,Iran
JPN,35.666668,139.75,Japan
MLT,35.900002,14.533334,Malta
GIB,36.133335,-5.3499999,Gibraltar
DZA,36.833332,3,Algeria
TUN,36.833332,10.216666,Tunisia
KOR,37.5,127,Korea
TKM,37.950001,58.383335,Turkmenistan
GRC,38,23.733334,Greece
TJK,38.633335,68.849998,Tajikistan
PRT,38.733334,-9.1333332,Portugal
USA,38.867001,-77,United States of America
PRK,39,125.78333,"Korea, Dem. People's Rep. of"
CHN,39.916668,116.43333,China
TUR,39.93,32.849998,Turkey
ARM,40.183334,44.5,Armenia
AZE,40.366665,49.883335,Azerbaijan
ESP,40.416668,-3.7166667,Spain
UZB,41.266666,69.216667,Uzbekistan
ALB,41.333332,19.816668,Albania
GEO,41.716667,44.816666,Georgia
ITA,41.883335,12.5,Italy
MKD,42,21.466667,Macedonia (the former Yugoslav Rep. of)
AND,42.5,1.5,Andorra
BGR,42.666668,23.299999,Bulgaria
KGZ,42.900002,74.599998,Kyrgyzstan
CAN,43.650002,-79.379997,Canada
BIH,43.866665,18.433332,Bosnia and Herzegovina
SMR,43.950001,12.49,San Marino
ROM,44.416668,26.116667,Romania
YUG,44.833332,20.5,Serbia and Montenegro
HRV,45.799999,15.966666,Croatia
SVN,46.066666,14.5,Slovenia
SPM,46.666668,-56.166668,St. Pierre and Miquelon
CHE,46.950001,7.4333334,Switzerland
MDA,47,28.833334,"Moldova, Rep.of"
HUN,47.5,19.049999,Hungary
MNG,47.900002,106.86667,Mongolia
SVK,48.166668,17.166666,Slovakia
AUT,48.216667,16.366667,Austria
FRA,48.866665,2.3333333,France
LUX,49.599998,6.1500001,Luxembourg
CZE,50.099998,14.433333,Czech Republic
UKR,50.416668,30.5,Ukraine
BEL,50.833332,4.3499999,Belgium and Luxembourg
KAZ,51.169998,71.470001,Kazakstan
GBR,51.5,-.16666667,United Kingdom
POL,52.25,21,Poland
NLD,52.349998,4.9000001,Netherlands
DEU,52.533001,13.417,Germany
IRL,53.333332,-6.25,Ireland
BLR,53.849998,27.5,Belarus
LTU,54.683334,25.316668,Lithuania
DNK,55.666668,12.583333,Denmark
RUS,55.75,37.700001,Russian Federation
LVA,56.950001,24.1,Latvia
SWE,59.333332,18.083334,Sweden
EST,59.416668,24.75,Estonia
NOR,59.916668,10.75,Norway
FIN,60.133335,25,Finland
FRO,62.016666,-6.7666669,Faroe Islands
ISL,64.150002,-21.966667,Iceland
GRL,64.183334,-51.733334,Greenland
